,Release date,Availability - Officially announced,Availability - Prices (MSRP),Availability - Expected nnouncement,Design - Dimensions,Design - Materials,Design - Resistance,Design - Biometrics,Design - Keys,Design - Colors,Design - Weight,Design - Features,Design - Phone functionality,Design - Tablet dock,Design - Dock Features,Display - Size,Display - Type,Display - Resolution,Display - Protection,Display - Features,Display - Colors,Display - Additional display,Hardware - System chip,Hardware - Processor,Hardware - GPU,Hardware - Memory,Hardware - Storage expansion,Hardware - OS,Battery - Type,Battery - Charging,Battery - Charge speed,Camera - Rear,Camera - Main camera,Camera - Second camera,Camera - Video recording,Camera - Front,Camera - Third camera,Camera - Flash,Camera - Fourth camera,Connectivity & Features - Bluetooth,Connectivity & Features - WLAN,Connectivity & Features - USB,Connectivity & Features - Sensors,Connectivity & Features - Location,Connectivity & Features - Other,Connectivity & Features - Hearing aid compatible,Connectivity & Features - HDMI,Multimedia - Headphones,Multimedia - Speakers,Multimedia - Screen mirroring,Multimedia - Additional microphone(s),Multimedia - Features,Multimedia - Radio,Multimedia - Broadcast Mobile TV,Cellular - 5G Bands,Cellular - LTE Bands,Cellular - TDD Bands,Cellular - Data Speed,Cellular - SIM type,Cellular - Dual SIM,Cellular - 3G Bands,Cellular - HD Voice,Cellular - VoLTE,Regulatory Approval - FCC approval,Regulatory Approval - Measured SAR,Phone Features - Notifications,Phone Features - Other features
Sony Xperia XZ2 Premium,"Jul 30, 2018","Apr 16, 2018",$1000,,6.22 x 3.15 x 0.47 inches 158 x 80 x 11.9 mm,Back: GlassFrame: Aluminum,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Silver",8.32 oz / 236.0 g,Notification light,,,,"5.8-inch, 73.36% screen-to-body","IPS LCD, HDR, 900 nits","3840x2160px, 16:9 ratio, 760 PPI",Corning Gorilla Glass 5,,16 777 216,,Snapdragon 845 SDM845 (10 nm),Octa-core2800 MHzKryo 385,Adreno 630,6GB (LPDDR4)/64GB,microSDXC up to 400 GB,"Android (9.0 Pie, 8.0 Oreo)","3540 mAh, Li - Polymer","Qualcomm Quick Charge 3.0, USB Power DeliveryQi wireless charging",,Dual camera,"19 MP (Laser and PDAF, CMOS image sensor)Aperture size: F1.8Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.22 μm","12 MP (Black and White, Laser and PDAF, CMOS image sensor)Aperture size: F1.6Focal Length: 25 mmSensor size: 1/2.3""Pixel size: 1.55 μm","4K UHD (30 fps), 1080p (960 fps), 720p (960 fps)HDR, EIS, Video calling, Video sharing",13 MP (Autofocus)Video capture: 1080p,,LED,,5.0,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou","NFC, VoIP, Tethering, Computer sync, OTA sync",,,No 3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",Noise cancellation,aptX-HD,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32, 66","38, 39, 40, 41, 46","LTE-A Pro Cat 18 (1200/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"6, 5, 8, 4, 2, 1",,,,,"Haptic feedback, Music ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia XZ2 Compact,"Apr 05, 2018","Feb 26, 2018",,,5.31 x 2.56 x 0.48 inches 135 x 65 x 12.1 mm,Back: PlasticFrame: Aluminum,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Silver, Pink, Green",5.93 oz / 168.0 g,Notification light,,,,"5.0-inch, 73.56% screen-to-body","IPS LCD, HDR, 700 nits","2160x1080px, 18:9 ratio, 483 PPI",Corning Gorilla Glass 5,,,,Snapdragon 845 SDM845 (10 nm),Octa-core2800 MHzKryo 385,Adreno 630,4GB (LPDDR4)/64GB,microSDXC up to 400 GB,Android (8.0 Oreo),"2870 mAh, Li - Polymer","Qualcomm Quick Charge 3.0, USB Power Delivery",,Single camera,"19 MP (Laser and PDAF, CMOS image sensor)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.22 μm",,"4K UHD (60 fps), 1080p (960 fps), 720pHDR, Time-lapse video, EIS, Video calling, Video sharing",5 MPVideo capture: 1080p,,LED,,5.0,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou","NFC, VoIP, Tethering, Computer sync, OTA sync",,,No 3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",Noise cancellation,aptX-HD,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32, 66","38, 39, 40, 41","LTE-A Cat 15/5 (800/75 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"1, 2, 4, 5, 6, 8",,,"Date approved: Jul 25, 2018FCC ID value: PY7-24118Q",Head: 0.78 W/kgBody: 0.74 W/kgSimultaneous Transmission: 1.44 W/kgWireless Router: 1.07 W/kg,,
Sony Xperia XZ2,"Apr 05, 2018","Feb 26, 2018",,,6.02 x 2.83 x 0.44 inches 153 x 72 x 11.1 mm,Back: GlassFrame: Aluminum,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Lock/Unlock key, Other","Black, Silver, Pink, Green",6.98 oz / 198.0 g,Notification light,,,,"5.7-inch, 76.28% screen-to-body","IPS LCD, HDR, 700 nits","2160x1080px, 18:9 ratio, 424 PPI",Corning Gorilla Glass 5,,,,Snapdragon 845 SDM845 (10 nm),Octa-core2800 MHzKryo 385,Adreno 630,4GB (LPDDR4)/64GB,microSDXC up to 400 GB,"Android (9.0 Pie, 8.0 Oreo)","3180 mAh, Li - Polymer","Qualcomm Quick Charge 3.0, USB Power DeliveryQi wireless charging",,Single camera,"19 MP (Laser and PDAF, CMOS image sensor)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.22 μm",,"4K UHD (60 fps), 1080p (960 fps), 720p, VGAHDR, Time-lapse video, EIS, Video calling, Video sharing",5 MP (Wide Angle)Video capture: 1080p,,LED,,5.0,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou","NFC, VoIP, Tethering, Computer sync, OTA sync",,,No 3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",Noise cancellation,aptX-HD,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32, 66","38, 39, 40, 41","LTE-A Pro Cat 18 (1200/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"6, 5, 8, 4, 2, 1",,,,,"Haptic feedback, Music ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia XA2 Ultra,"Feb 16, 2018","Jan 08, 2018",,,6.42 x 3.15 x 0.37 inches 163 x 80 x 9.5 mm,Back: PlasticFrame: Aluminum,,Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Silver, Blue",7.80 oz / 221.0 g,,,,,"6.0-inch, 76.07% screen-to-body","IPS LCD, 500 nits","1920x1080px, 16:9 ratio, 367 PPI",Corning Gorilla Glass 4,,16 777 216,,Snapdragon 630 SDM630 (14 nm),Octa-core2200 MHzARM Cortex-A53,Adreno 508,4GB (LPDDR4)/32GB4GB/64GB,microSDXC up to 256 GB,"Android (9.0 Pie, 8.0 Oreo)","3580 mAh, Li - Polymer",Qualcomm Quick Charge 3.0,,Single camera,"23 MP (PDAF)Aperture size: F2.0Focal length: 24 mmSensor size: 1/2.3""Pixel size: 1.12 μm",,"4K UHD (30 fps), 1080p (60 fps), 720p (120 fps)HDR, EIS, Video calling, Video sharing","16 MP (Dual-Camera, OIS, Wide Angle, Autofocus, Flash)Video capture: 1080p",,LED,,5.0,"a,b,g,n,ac,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Compass, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, UMA (Wi-Fi Calling), VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,Noise cancellation,aptX-HD,FM,,,"1, 2, 4, 5, 7, 8, 12, 13, 17, 25, 28, 29, 66",,"LTE-A Cat 12/13 (600/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 4, 2, 1",,,"Date approved: May 25, 2018FCC ID value: PY7-67442A",Head: 0.50 W/kgBody: 0.49 W/kgSimultaneous Transmission: 1.57 W/kgWireless Router: 1.00 W/kg,"Haptic feedback, Music ringtones, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia XA2,"Feb 16, 2018","Jan 08, 2018",,,5.59 x 2.76 x 0.38 inches 142 x 70 x 9.7 mm,Back: PlasticFrame: Aluminum,,Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Silver, Pink, Blue",6.03 oz / 171.0 g,,,,,"5.2-inch, 74.89% screen-to-body","IPS LCD, 500 nits","1920x1080px, 16:9 ratio, 424 PPI",Corning Gorilla Glass 4,,16 777 216,,Snapdragon 630 SDM630 (14 nm),Octa-core2200 MHzARM Cortex-A53,Adreno 508,3GB (LPDDR4)/32GB,microSDXC up to 256 GB,"Android (9.0 Pie, 8.0 Oreo)","3300 mAh, Li - Polymer",Qualcomm Quick Charge 3.0,,Single camera,"23 MP (PDAF)Aperture size: F2.0Focal length: 24 mmSensor size: 1/2.3""Pixel size: 1.12 μm",,"4K UHD (30 fps), 1080p (60 fps), 720p (120 fps)HDR, EIS, Video calling, Video sharing",8 MP (Wide Angle)Video capture: 1080p,,LED,,5.0,"a,b,g,n,ac,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Compass, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, UMA (Wi-Fi Calling), VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,Noise cancellation,aptX-HD,FM,,,"1, 2, 4, 5, 7, 8, 12, 13, 17, 25, 28, 29, 66",,"LTE-A Cat 12/13 (600/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 4, 2, 1",,,"Date approved: Nov 19, 2018FCC ID value: PY7-57442Z",Head: 0.81 W/kgBody: 1.07 W/kgSimultaneous Transmission: 1.54 W/kgWireless Router: 1.14 W/kg,"Haptic feedback, Music ringtones, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia L2,"Jan 27, 2018","Jan 08, 2018",$250,,5.91 x 3.07 x 0.39 inches 150 x 78 x 9.8 mm,Back: Plastic,,Fingerprint (touch),"Right: Volume control, Lock/Unlock key","Black, Gold, Pink",6.28 oz / 178.0 g,,,,,"5.5-inch, 71.24% screen-to-body","IPS LCD, 400 nits","1280x720px, 16:9 ratio, 267 PPI",Corning Gorilla Glass 4,,16 777 216,,MediaTek MT6737T (28 nm),Quad-core1500 MHzARM Cortex-A53,Mali-T720 MP2,3GB (LPDDR3)/32GB,microSDXC up to 256 GB,Android (7.1 Nougat),"3300 mAh, Li - Ion",,,Single camera,"13 MP (Autofocus)Aperture size: F2.0Sensor size: 1/3.06""Pixel size: 1.12 μm",,"1080p (30 fps)Continuous autofocus, Video calling, Video sharing",8 MP (Wide Angle)Video capture: 1080p,,LED,,4.2,"a,b,g,n,dual-bandHotspot, Wi-Fi Direct802.11 a, b, g, n",Type-C,"Accelerometer, Compass, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,,"Album art cover, Background playback",FM,,,"1, 2, 4, 5, 7, 8, 12, 13, 17, 25, 28",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 4, 2, 1",,,,,"Haptic feedback, Music ringtones, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia XZ1 Compact,"Oct 01, 2017","Aug 31, 2017",$600,,5.08 x 2.56 x 0.37 inches 129 x 65 x 9.3 mm,Frame: Aluminum,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Silver, Pink, Blue",5.04 oz / 143.0 g,,,,,"4.6-inch, 69.53% screen-to-body",IPS LCD,"1280x720px, 16:9 ratio, 319 PPI",Corning Gorilla Glass 5,,,,Snapdragon 835 MSM8998 (10 nm),Octa-core2450 MHzKryo 280,Adreno 540,4GB (LPDDR4)/32GB,microSDXC up to 256 GB,Android (8.0 Oreo),"2700 mAh, Li - Ion",Qualcomm Quick Charge 3.0,,Single camera,"19 MP (Laser and PDAF)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.22 μm",,"4K UHD (30 fps), 1080p, 720p (960 fps)HDR, Object tracking, EIS, Video calling, Video sharing",8 MP (Wide Angle)Video capture: 1080p,,LED,,5.0,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",Noise cancellation,aptX-HD,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 25, 26, 28, 29, 32, 66","38, 39, 40, 41","LTE-A Cat 15/5 (800/75 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"6, 5, 8, 4, 2, 1",,,"Date approved: Aug 24, 2017FCC ID value: PY7-32042D",Head: 0.97 W/kgBody: 0.78 W/kgSimultaneous Transmission: 1.59 W/kgWireless Router: 0.98 W/kg,,
Sony Xperia XA1 Plus,"Sep 21, 2017","Aug 31, 2017",$380,,6.10 x 2.95 x 0.34 inches 155 x 75 x 8.7 mm,Back: PlasticFrame: Aluminum,,Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Pink, Blue",6.70 oz / 190.0 g,,,,,"5.5-inch, 71.83% screen-to-body",IPS LCD,"1920x1080px, 16:9 ratio, 401 PPI",Corning Gorilla Glass 4,,,,MediaTek Helio P20 MT6757 (16 nm),Octa-core2300 MHzARM Cortex-A53,Mali-T880 MP2,3GB (LPDDR4)/32GB4GB/32GB,microSDXC up to 256 GB,"Android (8.0 Oreo, 7.0 Nougat)","3430 mAh, Li - Ion",MediaTek Pump Express,,Single camera,"23 MP (PDAF)Aperture size: F2.0Focal length: 24 mmSensor size: 1/2.3""",,"1080p (30 fps)Object tracking, EIS, Video calling, Video sharing","8 MP (Wide Angle, Autofocus, HDR)Video capture: 1080p",,LED,,4.2,"a,b,g,n,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n","Type-C, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, VoIP, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,Noise cancellation,"Album art cover, Background playback",FM,,,"2, 4, 5, 7, 12, 13, 17, 28, 29, 66",,"LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 4, 2, 1",,,,,,
Sony Xperia XZ1,"Sep 19, 2017","Aug 31, 2017",$700,,5.83 x 2.87 x 0.29 inches 148 x 73 x 7.4 mm,Back: Aluminum,"Water, Splash; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Silver, Pink, Blue",5.50 oz / 156.0 g,,,,,"5.2-inch, 69.17% screen-to-body","IPS LCD, HDR","1920x1080px, 16:9 ratio, 424 PPI",Corning Gorilla Glass 5,,,,Snapdragon 835 MSM8998 (10 nm),Octa-core2450 MHzKryo 280,Adreno 540,4GB (LPDDR4)/64GB,microSDXC up to 2000 GB,Android (8.0 Oreo),2700 mAh,Qualcomm Quick Charge 3.0,,Single camera,"19 MP (Laser and PDAF)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.22 μm",,"4K UHD (30 fps), 1080p, 720p (960 fps)HDR, Object tracking, Picture-taking during video recording, EIS, Video calling, Video sharing",13 MP (Wide Angle)Video capture: 1080p,,LED,,5.0,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",Noise cancellation,aptX-HD,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 29, 66","38, 40, 41","LTE-A Pro Cat 16 (1000/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 4, 2, 1",,,,,"Haptic feedback, Music ringtones, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording, TTY/TDD"
Sony Xperia XZ Premium,"Jun 01, 2017","Feb 27, 2017",,,6.14 x 3.03 x 0.31 inches 156 x 77 x 7.9 mm,Back: GlassFrame: Aluminum,"Water, Dust; IP68",,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Silver, Pink, Red",6.74 oz / 191.0 g,Notification light,,,,"5.5-inch, 69.48% screen-to-body","IPS LCD, HDR, 700 nits","3840x2160px, 16:9 ratio, 801 PPI",Corning Gorilla Glass 5,,,,Snapdragon 835 MSM8998 (10 nm),Octa-core2450 MHzKryo 280,Adreno 540,4GB (LPDDR4)/64GB,microSDXC up to 256 GB,"Android (8.0 Oreo, 7.1 Nougat)","3230 mAh, Li - Ion",Qualcomm Quick Charge 3.0,,Single camera,"19 MP (Laser and PDAF, CMOS image sensor)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.22 μm",,"4K UHD (30 fps), 720p (960 fps)HDR, Time-lapse video, Object tracking, EIS, Video calling, Video sharing",13 MP (Wide Angle)Video capture: 1080p,,LED,,5.0,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct, Hotspot802.11 a, b, g, n, ac","Type-C, USB 3.1","Accelerometer, Gyroscope, Compass, Gesture, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, Galileo, BeiDou","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share","Noise cancellation, Video recording",aptX-HD,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32","38, 39, 40, 41","LTE-A Pro Cat 16 (1000/150 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"6, 5, 8, 4, 2, 1",,,,,,
Sony Xperia L1,"May 11, 2017","Mar 20, 2017",,,5.94 x 2.91 x 0.34 inches 151 x 74 x 8.7 mm,,,,"Right: Volume control, Lock/Unlock key","Black, Pink, White",6.35 oz / 180.0 g,Notification light,,,,"5.5-inch, 74.78% screen-to-body",IPS LCD,"1280x720px, 16:9 ratio, 267 PPI",,,16 777 216,,MediaTek MT6737T (28 nm),Quad-core1450 MHzARM Cortex-A53,Mali-T720 MP2,2GB (LPDDR3)/16GB,microSDXC up to 256 GB,Android (7.0 Nougat),2620 mAh,,,Single camera,13 MP (Autofocus)Aperture size: F2.2,,"YesObject tracking, Video calling, Video sharing",5 MP (Wide Angle)Video capture: 1080p,,LED,,4.2,"a,b,g,n,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n","Type-C, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,"Noise cancellation, Video recording","Album art cover, Background playback",FM,,,"2, 4, 5, 7, 12, 17, 28",,"LTE Cat 4 (150/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 4, 2, 1",,,"Date approved: Sep 26, 2017FCC ID value: PY7-10720X",Head: 0.51 W/kgBody: 0.66 W/kgSimultaneous Transmission: 1.59 W/kgWireless Router: 1.15 W/kg,"Haptic feedback, Vibration, Flight mode, Silent mode, Speakerphone","Voice dialing, Voice commands, Voice recording"
Sony Xperia XA1 Ultra,"May 05, 2017","Feb 27, 2017",,,6.50 x 3.11 x 0.32 inches 165 x 79 x 8.1 mm,Frame: Aluminum,,,"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Gold, Pink, White",6.63 oz / 188.0 g,,,,,"6.0-inch, 76.10% screen-to-body",,"1920x1080px, 16:9 ratio, 367 PPI",,,,,MediaTek Helio P20 MT6757,Octa-core2300 MHzARM Cortex-A53,Mali-T880 MP2,4GB (LPDDR4)/32GB4GB/64GB,microSDXC up to 256 GB,"Android (8.0 Oreo, 7.0 Nougat)","2700 mAh, Li - Ion",MediaTek Pump Express,,Single camera,"23 MP (Laser and PDAF)Aperture size: F2.0Focal length: 24 mmSensor size: 1/2.3""",,"YesHDR, Object tracking, EIS, Video calling, Video sharing","16 MP (OIS, Autofocus, Flash)Video capture: 1080p",,LED,,4.2,"a,b,g,n,dual-bandWi-Fi Direct, Hotspot802.11 a, b, g, n","Type-C, USB 2.0","Accelerometer, Compass, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,"Noise cancellation, Video recording","Album art cover, Background playback",,,,"2, 4, 5, 7, 12, 13, 17, 28, 29",,"LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"5, 8, 4, 2, 1",,,,,,
Sony Xperia XA1,"May 01, 2017","Feb 27, 2017",$299,,5.71 x 2.64 x 0.31 inches 145 x 67 x 8 mm,,,,"Right: Volume control, Lock/Unlock key","Black, Gold, Pink, White",5.04 oz / 143.0 g,,,,,"5.0-inch, 70.87% screen-to-body",IPS LCD,"1280x720px, 16:9 ratio, 294 PPI",,,,,MediaTek Helio P20 MT6757,Octa-core2300 MHzARM Cortex-A53,Mali-T880 MP2,3GB (LPDDR4)/32GB,microSDXC up to 256 GB,"Android (8.0 Oreo, 7.0 Nougat)","2300 mAh, Li - Ion",MediaTek Pump Express,,Single camera,"23 MP (Laser and PDAF)Aperture size: F2.0Focal length: 24 mmSensor size: 1/2.3""",,"1080p (30 fps)EIS, Video calling, Video sharing",8 MP (Autofocus)Video capture: 1080p,,LED,,4.2,"a,b,g,n,dual-bandWi-Fi Direct802.11 a, b, g, n","Type-C, USB 2.0","Accelerometer, Hall (for flip covers), Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Loudspeaker",Wireless screen share,,"Album art cover, Background playback",FM,,,"2, 4, 5, 7, 12, 13, 17, 28, 29",,"LTE-A Cat 6 (300/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s, UMTS",Nano SIM,,"5, 8, 4, 2, 1",,,"Date approved: Aug 16, 2017FCC ID value: PY7-98591H",Head: 0.55 W/kgBody: 1.10 W/kgSimultaneous Transmission: 1.59 W/kgWireless Router: 1.39 W/kg,,
Sony Xperia XZs,"Apr 05, 2017","Feb 27, 2017",,,5.75 x 2.83 x 0.32 inches 146 x 72 x 8.1 mm,Back: Metal,"Water, Dust; IP68",Fingerprint (touch),"Right: Volume control, Camera shutter, Lock/Unlock key","Black, Silver, Blue",5.68 oz / 161.0 g,,,,,"5.2-inch, 71.00% screen-to-body",IPS LCD,"1920x1080px, 424 PPI",Corning Gorilla Glass,,,,Snapdragon 820 MSM8996,Quad-core2200 MHzKryo,Adreno 530,4GB (LPDDR4)/32GB4GB/64GB,microSDXC up to 256 GB,"Android (8.0 Oreo, 7.1 Nougat)","2900 mAh, Li - Ion",Qualcomm Quick Charge 3.0,,Single camera,"19 MP (Laser and PDAF)Aperture size: F2.0Focal length: 25 mmSensor size: 1/2.3""Pixel size: 1.22 μm",,"4K UHD, 720p (960 fps)Time-lapse video, Object tracking, EIS, Video calling, Video sharing",13 MP (Wide Angle)Video capture: 1080p,,LED,,4.2,"a,b,g,n,ac,dual-bandMIMO, Wi-Fi Direct802.11 a, b, g, n, ac","Type-C, USB 2.0","Accelerometer, Gyroscope, Compass, Barometer, Step detector, Step counter, Ambient light sensor, Proximity sensor","GPS, A-GPS, Glonass, BeiDou","NFC, Tethering, Computer sync, OTA sync",,,3.5mm jack,"Earpiece, Multiple speakers","DLNA,Wireless screen share",Noise cancellation,"Album art cover, Background playback",,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 19, 20, 26, 28, 29, 32","38, 39, 40, 41","LTE-A Cat 9 (450/50 Mbit/s), HSDPA+ (4G) 42.2 Mbit/s, HSUPA 5.76 Mbit/s",Nano SIM,,"6, 5, 8, 4, 2, 1",,,,,,
